ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description
2,Company Master,http://jwttoken.cmots.com/Aidea/api/CompanyMaster,EOD,11:30 PM,Once on trading day,NA,NA,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,bsecode,Int,BSE Scrip Code
,,,,,,,,nsesymbol,Varchar(100),NSE Symbol
,,,,,,,,companyname,Varchar(100),Company Name
,,,,,,,,companyshortname,Varchar(100),Company Short Name
,,,,,,,,categoryname,Varchar(100),Category Name
,,,,,,,,isin,Varchar(100),ISIN
,,,,,,,,bsegroup,Varchar(100),BSE Group
,,,,,,,,mcaptype,Varchar(100),Mcap Type
,,,,,,,,sectorcode,Int,Sector Code
,,,,,,,,sectorname,Varchar(100),Sector Name
,,,,,,,,industrycode,Int,Industry Code
,,,,,,,,industryname,Varchar(100),Industry Name
,,,,,,,,bselistedflag,Varchar(100),BSE Listed Flag
,,,,,,,,nselistedflag,Varchar(100),NSE Listed Flag
,,,,,,,,displaytype,Varchar(100),Display Type
,,,,,,,,BSEStatus,Varchar(100),BSE Status
,,,,,,,,NSEStatus,Varchar(100),NSE Status
,,,,,,,,mcap,Float,Market Capitalization
3,Sector Master,http://jwttoken.cmots.com/Aidea/api/SectorMaster,EOD,11:30 PM,Once on trading day,N/A,N/A,Output,OutputType,OutDesc
,,,,,,,,sect_code,int,Sector Code
,,,,,,,,sect_name,varchar(100),Sector Name
4,Index Master,http://jwttoken.cmots.com/Aidea/api/Index-master/NSE,EOD,11:30 PM,Once on trading day,exchange,Exchange(BSE / NSE),Output,OutputType,OutDesc
,,,,,,,,exchange,varchar(100),Exchange
,,,,,,,,index_code,int,Index Code
,,,,,,,,index_name,varchar(100),Index Name
,,,,,,,,index_symbol,varchar(100),Index Symbol
5,Sector Wise Company,http://jwttoken.cmots.com/Aidea/api/SectorWiseComp/00000006,EOD,11:30 PM,Once on trading day,Sector Code,Sector Code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,co_name,Varchar(100),Company Name
,,,,,,,,lname,Varchar(100),Last Name
,,,,,,,,sect_code,int,Sector Code
,,,,,,,,sc_code,Int,BSE Scrip Code
,,,,,,,,symbol,Varchar(100),NSE Company Symbol
,,,,,,,,sect_name,varchar(50),Sector Name
,,,,,,,,Exchange_BSE,varchar(50),Exchange BSE
,,,,,,,,Exchange_NSE,varchar(50),Exchange NSE
,,,,,,,,isin,varchar(50),ISIN
6, Index Wise Company,http://jwttoken.cmots.com/Aidea/api/IndexWiseComp/26753,EOD,11:30 PM,Once on trading day,seccode,Index Code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,CompanyShortName,varchar(50),Company Short Name
,,,,,,,,CompanyLongName,Varchar(100),Company Long Name
,,,,,,,,index_code,int,Index Code
,,,,,,,,BSECode,Int,Scrip Code
,,,,,,,,NSESymbol,varchar(50),Symbol
,,,,,,,,ISIN,varchar(50),ISIN
,,,,,,,,SectorName,Varchar(100),Sector Name
7,Exchange Holidays,http://jwttoken.cmots.com/Aidea/api/Exchange-Holidays/NSE,EOD,11:30 PM,Once on trading day,Exchg,Exchange(BSE / NSE),Output,OutputType,OutDesc
,,,,,,,,HolidayDate,Datetime,Holiday Date
,,,,,,,,Purpose,Varchar(100),Purpose
,,,,,,,,day,Varchar(100),Day
8,Results Today,http://jwttoken.cmots.com/Aidea/api/Today-Results,EOD,11:30 PM,Once on trading day,N/A,N/A,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS Company Code
,,,,,,,,symbol,Varchar(100),NSE Symbol
,,,,,,,,isin,Varchar(100),ISIN
