ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description
1,Company Profile,http://jwttoken.cmots.com/Aidea/api/CompanyProfile/476,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,isin,varchar(50),ISIN
,,,,,,,,hse_s_name,varchar(50),HSE_S_NAME
,,,,,,,,inc_dt,varchar(50),INC_DT
,,,,,,,,regadd1,varchar(100),Registrar Address 1
,,,,,,,,regadd2,varchar(50),Registrar Address 2
,,,,,,,,regdist,varchar(100),Registrar District
,,,,,,,,regstate,varchar(50),Registrar State
,,,,,,,,regpin,varchar(50),Registrar Pincode
,,,,,,,,tel1,varchar(50),Telephone
,,,,,,,,ind_l_name,varchar(100),Industry Last Name
,,,,,,,,tel2,varchar(100),Telephone 2
,,,,,,,,fax1,varchar(50),Fax 1
,,,,,,,,fax2,null,Fax 2
,,,,,,,,auditor,varchar(100),Auditor
,,,,,,,,fv,Int,Face Value
,,,,,,,,mkt_lot,Int,Market Lot
,,,,,,,,chairman,varchar(50),Chairman
,,,,,,,,co_sec,varchar(50),Company Sector
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,email,varchar(50),Company Email
,,,,,,,,internet,varchar(50),Internet
,,,,,,,,dir_name,varchar(50),Director Name
,,,,,,,,dir_desg,varchar(50),Director Designation
,,,,,,,,co_code1,Int,Company Code 1
,,,,,,,,ho_add1,varchar(50),Head Office Address 1
,,,,,,,,ho_add2,varchar(50),Head Office Address 2
,,,,,,,,ho_add3,varchar(50),Head Office Address 3
,,,,,,,,ho_city,varchar(50),Head Office City
,,,,,,,,ho_stcode,varchar(50),Head Office State Code
,,,,,,,,ho_statename,varchar(50),Head Office State Name
,,,,,,,,ho_pin,Int,Head Office Pin code
,,,,,,,,ho_tel1,varchar(50),Head Office Telephone1
,,,,,,,,ho_tel2,Int,Head  Office Telephone2
,,,,,,,,ho_fax1,Int,Head Office Fax1
,,,,,,,,ho_fax2,Int,Head Office Fax2
,,,,,,,,ho_email,varchar(50),Head Office Email
,,,,,,,,ho_ctry_name,varchar(50),Head Office Country Name
,,,,,,,,co_code2,Float,Company Code 2
,,,,,,,,co_add1,Float,Company Address 1
,,,,,,,,co_add2,Float,Company Address 2
,,,,,,,,co_add3,Float,Company Address 3
,,,,,,,,co_city,Float,Company City
,,,,,,,,co_stcode,Float,Company State Code
,,,,,,,,co_statename,Float,Company State Name
,,,,,,,,co_pin,Float,Company Pin Code
,,,,,,,,co_tel1,Float,Company Telephone 1
,,,,,,,,co_tel2,Float,Company Telephone 2
,,,,,,,,co_fax1,Float,Company Fax 1
,,,,,,,,co_fax2,Float,Company Fax 2
,,,,,,,,co_email,Float,Company Email
,,,,,,,,co_ctry_name,Float,Company Country Name
,,,,,,,,co_code3,Int,Company Code 3
,,,,,,,,rcode,varchar(50),Registrar Code
,,,,,,,,reg_name,varchar(100),Regsitrar Name 
,,,,,,,,reg_add1,varchar(100),Registrar Address 1
,,,,,,,,reg_add2,varchar(100),Registrar Address 2
,,,,,,,,reg_add3,varchar(100),Registrar Address 3
,,,,,,,,reg_add4,varchar(100),Registrar Address 4
,,,,,,,,reg_tel,varchar(100),Registrar Telephone
