ReportIndex,Report Name,API URL,Notes,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description,Is_Unique,Is_Index,GQL_Alias
1,Quarterly Results,http://jwttoken.cmots.com/Aidea/api/QuarterlyResults/476/C,,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,isConsolidated,Boolean,Standalone/Consolidated,TRUE,TRUE,
,,,,,,,,key_category,Varchar(100),Balance Sheet Field Category,TRUE,TRUE,
,,,,,,,,key,Varchar(100),Balance Sheet Field,TRUE,TRUE,
,,,,,,,,value,float,Balance Sheet Field Value,,,
,,,,,,,,month,int,Month,TRUE,TRUE,Month
,,,,,,,,quarter,int,Quarter,TRUE,TRUE,Quarter
,,,,,,,,year,int,Year,TRUE,TRUE,Year
,,,,,,,,rowno,int,rowno,TRUE,TRUE,RowNo
,,,,,,,,RID,int,RID,TRUE,TRUE,RID
2,Profit and Loss,http://jwttoken.cmots.com/Aidea/api/ProftandLoss/6/C,,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,isConsolidated,Boolean,Standalone/Consolidated,TRUE,TRUE,
,,,,,,,,key_category,Varchar(100),Balance Sheet Field Category,TRUE,TRUE,
,,,,,,,,key,Varchar(100),Balance Sheet Field,TRUE,TRUE,
,,,,,,,,value,float,Balance Sheet Field Value,,,
,,,,,,,,month,int,Month,TRUE,TRUE,Month
,,,,,,,,quarter,int,Quarter,TRUE,TRUE,Quarter
,,,,,,,,year,int,Year,TRUE,TRUE,Year
,,,,,,,,rowno,int,rowno,TRUE,TRUE,RowNo
,,,,,,,,RID,int,RID,TRUE,TRUE,RID
3,Balance Sheet,http://jwttoken.cmots.com/Aidea/api/BalanceSheet/6/C,,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,isConsolidated,Boolean,Standalone/Consolidated,TRUE,TRUE,
,,,,,,,,key_category,Varchar(100),Balance Sheet Field Category,TRUE,TRUE,
,,,,,,,,key,Varchar(100),Balance Sheet Field,TRUE,TRUE,
,,,,,,,,value,float,Balance Sheet Field Value,,,
,,,,,,,,month,int,Month,TRUE,TRUE,Month
,,,,,,,,quarter,int,Quarter,TRUE,TRUE,Quarter
,,,,,,,,year,int,Year,TRUE,TRUE,Year
,,,,,,,,rowno,int,rowno,TRUE,TRUE,RowNo
,,,,,,,,RID,int,RID,TRUE,TRUE,RID
4,Cash Flow,http://jwttoken.cmots.com/Aidea/api/CashFlow/93/C,,11:30 PM,Once on trading day,cocode,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,isConsolidated,Boolean,Standalone/Consolidated,TRUE,TRUE,
,,,,,,,,key_category,Varchar(100),Balance Sheet Field Category,TRUE,TRUE,
,,,,,,,,key,Varchar(100),Balance Sheet Field,TRUE,TRUE,
,,,,,,,,value,float,Balance Sheet Field Value,,,
,,,,,,,,month,int,Month,TRUE,TRUE,Month
,,,,,,,,quarter,int,Quarter,TRUE,TRUE,Quarter
,,,,,,,,year,int,Year,TRUE,TRUE,Year
,,,,,,,,rowno,int,rowno,TRUE,TRUE,RowNo
,,,,,,,,RID,int,RID,TRUE,TRUE,RID
5,Half Yearly Results,http://jwttoken.cmots.com/Aidea/api/Half-Yearly-Results/21281/C,,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,isConsolidated,Boolean,Standalone/Consolidated,TRUE,TRUE,
,,,,,,,,key_category,Varchar(100),Balance Sheet Field Category,TRUE,TRUE,
,,,,,,,,key,Varchar(100),Balance Sheet Field,TRUE,TRUE,
,,,,,,,,value,float,Balance Sheet Field Value,,,
,,,,,,,,month,int,Month,TRUE,TRUE,Month
,,,,,,,,quarter,int,Quarter,TRUE,TRUE,Quarter
,,,,,,,,year,int,Year,TRUE,TRUE,Year
,,,,,,,,rowno,int,rowno,TRUE,TRUE,RowNo
,,,,,,,,RID,int,RID,TRUE,TRUE,RID
6,Nine Months Results,http://jwttoken.cmots.com/Aidea/api/Nine-Month-Result/6/C,,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,isConsolidated,Boolean,Standalone/Consolidated,TRUE,TRUE,
,,,,,,,,key_category,Varchar(100),Balance Sheet Field Category,TRUE,TRUE,
,,,,,,,,key,Varchar(100),Balance Sheet Field,TRUE,TRUE,
,,,,,,,,value,float,Balance Sheet Field Value,,,
,,,,,,,,month,int,Month,TRUE,TRUE,Month
,,,,,,,,quarter,int,Quarter,TRUE,TRUE,Quarter
,,,,,,,,year,int,Year,TRUE,TRUE,Year
,,,,,,,,rowno,int,rowno,TRUE,TRUE,RowNo
,,,,,,,,RID,int,RID,TRUE,TRUE,RID
7,Yearly Results,http://jwttoken.cmots.com/Aidea/api/Yearly-Results/6/C,,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,isConsolidated,Boolean,Standalone/Consolidated,TRUE,TRUE,
