"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","23,644.80","23,560.60","23,689.85","23,460.45","193.63M","0.00%"
"30-12-2024","23,644.90","23,796.90","23,915.35","23,599.30","364.93M","-0.71%"
"27-12-2024","23,813.40","23,801.40","23,938.85","23,800.60","176.82M","0.27%"
"26-12-2024","23,750.20","23,775.80","23,854.50","23,653.60","177.68M","0.10%"
"24-12-2024","23,727.65","23,769.10","23,867.65","23,685.15","177.66M","-0.11%"
"23-12-2024","23,753.45","23,738.20","23,869.55","23,647.20","189.76M","0.70%"
"20-12-2024","23,587.50","23,960.70","24,065.80","23,537.35","442.71M","-1.52%"
"19-12-2024","23,951.70","23,877.15","24,004.90","23,870.30","271.13M","-1.02%"
"18-12-2024","24,198.85","24,297.95","24,394.45","24,149.85","235.35M","-0.56%"
"17-12-2024","24,336.00","24,584.80","24,624.10","24,303.45","264.88M","-1.35%"
"16-12-2024","24,668.25","24,753.40","24,781.25","24,601.75","187.55M","-0.40%"
"13-12-2024","24,768.30","24,498.35","24,792.30","24,180.80","310.08M","0.89%"
"12-12-2024","24,548.70","24,604.45","24,675.25","24,527.95","266.05M","-0.38%"
"11-12-2024","24,641.80","24,620.50","24,691.75","24,583.85","187.25M","0.13%"
"10-12-2024","24,610.05","24,652.65","24,677.80","24,510.65","261.05M","-0.04%"
"09-12-2024","24,619.00","24,633.90","24,705.00","24,580.05","248.14M","-0.24%"
"06-12-2024","24,677.80","24,729.45","24,751.05","24,620.50","226.73M","-0.12%"
"05-12-2024","24,708.40","24,539.15","24,857.75","24,295.55","361.47M","0.98%"
"04-12-2024","24,467.45","24,488.75","24,573.20","24,366.30","348.00M","0.04%"
"03-12-2024","24,457.15","24,367.50","24,481.35","24,280.00","339.47M","0.75%"
"02-12-2024","24,276.05","24,140.85","24,301.70","24,008.65","220.38M","0.60%"
"29-11-2024","24,131.10","23,927.15","24,188.45","23,927.15","282.10M","0.91%"
"28-11-2024","23,914.15","24,274.15","24,345.75","23,873.35","366.74M","-1.49%"
"27-11-2024","24,274.90","24,204.80","24,354.55","24,145.65","295.01M","0.33%"
"26-11-2024","24,194.50","24,343.30","24,343.30","24,125.40","230.69M","-0.11%"
"25-11-2024","24,221.90","24,253.55","24,351.55","24,135.45","687.17M","1.32%"
"22-11-2024","23,907.25","23,411.80","23,956.10","23,359.00","367.56M","2.39%"
"21-11-2024","23,349.90","23,488.45","23,507.30","23,263.15","420.33M","-0.72%"
"19-11-2024","23,518.50","23,529.55","23,780.65","23,464.80","297.48M","0.28%"
"18-11-2024","23,453.80","23,605.30","23,606.80","23,350.40","263.31M","-0.34%"
"14-11-2024","23,532.70","23,542.15","23,675.90","23,484.15","257.71M","-0.11%"
"13-11-2024","23,559.05","23,822.45","23,873.60","23,509.60","304.57M","-1.36%"
"12-11-2024","23,883.45","24,225.80","24,242.00","23,839.15","255.83M","-1.07%"
"11-11-2024","24,141.30","24,087.25","24,336.80","24,004.60","273.37M","-0.03%"
"08-11-2024","24,148.20","24,207.70","24,276.15","24,066.65","298.72M","-0.21%"
"07-11-2024","24,199.35","24,489.60","24,503.35","24,179.05","322.19M","-1.16%"
"06-11-2024","24,484.05","24,308.75","24,537.60","24,204.05","351.08M","1.12%"
"05-11-2024","24,213.30","23,916.50","24,229.05","23,842.75","289.51M","0.91%"
"04-11-2024","23,995.35","24,315.75","24,316.75","23,816.15","285.53M","-1.27%"
"01-11-2024","24,304.35","24,302.75","24,368.25","24,280.20","38.81M","0.41%"
"31-10-2024","24,205.35","24,349.85","24,372.45","24,172.60","287.01M","-0.56%"
"30-10-2024","24,340.85","24,371.45","24,498.20","24,307.30","285.20M","-0.51%"
