"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","22,834.00","22,713.60","22,899.80","22,641.00","26.30M","0.29%"
"30-12-2024","22,768.25","23,072.25","23,100.80","22,695.75","74.60M","-1.43%"
"27-12-2024","23,099.05","22,960.60","23,461.95","22,952.60","34.11M","0.97%"
"26-12-2024","22,876.10","22,709.85","22,947.80","22,709.85","33.76M","0.84%"
"24-12-2024","22,685.55","22,565.45","22,810.20","22,510.60","27.14M","0.57%"
"23-12-2024","22,557.75","22,699.95","22,765.55","22,488.30","27.42M","-0.10%"
"20-12-2024","22,580.00","23,070.45","23,236.60","22,531.65","56.81M","-2.13%"
"19-12-2024","23,070.90","22,911.75","23,166.65","22,862.40","49.05M","-0.73%"
"18-12-2024","23,241.25","23,319.60","23,423.55","23,208.60","50.87M","-0.75%"
"17-12-2024","23,417.80","23,705.10","23,834.00","23,361.65","42.62M","-1.57%"
"16-12-2024","23,790.50","23,805.05","23,823.35","23,628.25","40.33M","0.07%"
"13-12-2024","23,773.10","23,617.75","23,803.75","23,292.10","38.58M","0.48%"
"12-12-2024","23,660.30","23,891.80","23,908.10","23,615.30","32.35M","-0.80%"
"11-12-2024","23,851.85","23,779.50","23,947.20","23,757.10","30.49M","0.36%"
"10-12-2024","23,767.05","23,806.80","23,838.00","23,635.40","44.97M","-0.03%"
"09-12-2024","23,775.05","23,948.50","23,986.05","23,750.60","48.29M","-0.77%"
"06-12-2024","23,960.25","23,799.75","23,982.50","23,722.85","83.94M","0.94%"
"05-12-2024","23,736.25","23,691.10","23,853.75","23,438.55","52.73M","0.65%"
"04-12-2024","23,584.00","23,746.20","23,850.75","23,466.75","58.47M","-0.71%"
"03-12-2024","23,752.40","23,692.75","23,775.45","23,580.75","40.23M","0.65%"
"02-12-2024","23,599.60","23,433.00","23,615.45","23,353.75","39.82M","0.99%"
"29-11-2024","23,368.55","23,169.20","23,446.50","23,128.90","40.74M","1.01%"
"28-11-2024","23,134.70","23,509.25","23,549.70","23,091.80","49.52M","-1.63%"
"27-11-2024","23,517.35","23,515.80","23,639.00","23,419.40","37.72M","0.45%"
"26-11-2024","23,413.00","23,762.55","23,800.15","23,326.80","30.92M","-1.28%"
"25-11-2024","23,716.45","23,914.55","24,111.95","23,648.65","102.56M","0.69%"
"22-11-2024","23,554.10","23,208.80","23,686.35","23,089.05","38.72M","1.76%"
"21-11-2024","23,145.90","23,321.35","23,328.50","23,072.65","44.29M","-0.91%"
"19-11-2024","23,359.50","23,052.55","23,713.20","23,051.60","46.71M","1.37%"
"18-11-2024","23,043.85","23,044.75","23,261.85","22,854.55","44.49M","0.56%"
"14-11-2024","22,914.50","22,831.55","23,036.15","22,659.05","52.19M","0.66%"
"13-11-2024","22,765.20","23,207.70","23,220.00","22,691.50","80.28M","-2.17%"
"12-11-2024","23,269.10","23,744.70","23,865.60","23,183.75","61.75M","-1.94%"
"11-11-2024","23,729.45","23,740.20","24,077.10","23,618.30","67.68M","-0.32%"
"08-11-2024","23,805.20","23,855.55","23,900.60","23,536.05","57.49M","-0.03%"
"07-11-2024","23,812.50","24,236.95","24,243.80","23,696.05","45.71M","-1.35%"
"06-11-2024","24,137.90","23,960.70","24,181.50","23,835.85","36.85M","1.25%"
"05-11-2024","23,839.60","23,553.15","23,891.15","23,462.45","40.81M","1.13%"
"04-11-2024","23,573.20","23,883.75","24,068.90","23,258.15","59.81M","-0.98%"
"01-11-2024","23,805.60","23,792.70","23,869.75","23,765.90","7.63M","1.24%"
"31-10-2024","23,514.70","23,606.65","23,625.30","23,401.85","43.46M","-0.34%"
"30-10-2024","23,594.00","23,430.60","23,855.15","23,423.90","47.33M","0.02%"
"29-10-2024","23,588.60","23,941.65","24,048.65","23,264.30","61.15M","-1.57%"
"28-10-2024","23,964.45","23,807.05","24,224.05","23,664.50","35.54M","0.69%"
"25-10-2024","23,799.30","24,360.95","24,378.15","23,519.80","46.42M","-2.16%"
"24-10-2024","24,324.85","24,432.90","24,555.45","24,257.45","64.64M","-0.52%"
"23-10-2024","24,451.30","24,593.50","24,873.80","24,388.00","47.13M","-0.71%"
"22-10-2024","24,627.25","25,297.45","25,316.45","24,583.95","49.02M","-2.47%"
"21-10-2024","25,251.85","25,161.55","25,359.55","24,777.60","35.28M","0.42%"
"18-10-2024","25,146.90","24,907.95","25,247.80","24,699.35","40.04M","0.62%"
"17-10-2024","24,991.20","25,792.15","25,820.50","24,959.85","55.55M","-3.54%"
"16-10-2024","25,909.00","26,178.25","26,197.25","25,783.25","36.57M","-1.27%"
"15-10-2024","26,242.60","26,619.00","26,626.10","26,028.80","38.96M","-0.83%"
"14-10-2024","26,463.55","26,501.15","26,569.40","26,428.05","30.63M","0.10%"
"11-10-2024","26,436.60","26,583.25","26,610.90","26,381.00","35.03M","-0.35%"
"10-10-2024","26,528.50","26,492.00","26,764.15","26,392.15","63.58M","0.30%"
"09-10-2024","26,450.25","26,314.10","26,673.40","26,271.00","54.76M","0.82%"
"08-10-2024","26,236.10","25,731.85","26,293.60","25,612.45","54.28M","1.66%"
"07-10-2024","25,807.15","26,042.60","26,079.95","25,544.80","49.82M","-0.46%"
"04-10-2024","25,926.30","26,294.25","26,449.25","25,850.40","59.50M","-1.43%"
"03-10-2024","26,302.10","26,479.50","26,806.20","26,261.55","63.44M","-2.88%"
"01-10-2024","27,083.45","27,099.80","27,228.10","26,971.65","41.73M","0.21%"
"30-09-2024","27,027.20","27,474.30","27,534.90","26,971.05","52.66M","-2.11%"
"27-09-2024","27,610.75","27,477.70","27,696.10","27,382.65","64.04M","0.42%"
"26-09-2024","27,496.25","26,885.45","27,526.35","26,839.30","102.45M","2.26%"
"25-09-2024","26,888.35","26,872.50","27,108.45","26,714.80","42.51M","-0.12%"
"24-09-2024","26,920.45","26,700.80","26,966.95","26,696.60","49.57M","0.43%"
"23-09-2024","26,805.40","26,491.25","26,825.55","26,485.90","56.87M","1.56%"
"20-09-2024","26,394.55","25,960.50","26,452.05","25,926.75","85.36M","1.88%"
"19-09-2024","25,907.65","25,934.85","26,105.00","25,806.00","70.03M","0.40%"
"18-09-2024","25,804.45","25,885.50","26,117.25","25,746.35","121.93M","-0.36%"
"17-09-2024","25,896.40","25,903.35","25,942.90","25,602.20","101.26M","0.26%"
"16-09-2024","25,829.65","25,865.80","25,915.55","25,801.10","39.34M","0.03%"
"13-09-2024","25,820.85","25,832.40","25,870.70","25,718.15","59.25M","0.16%"
"12-09-2024","25,779.80","25,342.55","25,818.45","25,191.10","57.26M","2.14%"
"11-09-2024","25,240.60","25,406.40","25,456.80","25,191.00","70.70M","-1.24%"
"10-09-2024","25,556.45","25,539.50","25,627.15","25,398.30","30.14M","0.24%"
"09-09-2024","25,495.25","25,499.60","25,523.60","25,259.25","29.37M","-0.12%"
"06-09-2024","25,527.15","25,817.65","25,893.15","25,435.90","32.31M","-1.19%"
"05-09-2024","25,835.30","25,987.70","26,016.95","25,800.25","38.64M","-0.38%"
"04-09-2024","25,934.25","25,869.40","25,988.55","25,764.20","30.90M","-0.39%"
"03-09-2024","26,034.65","26,140.85","26,141.75","26,004.15","31.62M","-0.14%"
"02-09-2024","26,071.40","26,289.35","26,289.35","25,951.90","32.84M","-0.39%"
"30-08-2024","26,172.80","26,083.30","26,245.60","25,976.45","62.70M","0.59%"
"29-08-2024","26,020.40","25,858.40","26,117.95","25,671.25","69.56M","0.54%"
"28-08-2024","25,879.40","25,963.25","26,055.60","25,817.25","28.11M","-0.13%"
"27-08-2024","25,911.90","25,960.70","26,026.80","25,857.05","38.75M","-0.11%"
"26-08-2024","25,941.45","25,913.50","25,995.75","25,802.15","33.06M","0.35%"
"23-08-2024","25,850.70","25,630.80","25,929.05","25,621.25","52.50M","1.12%"
"22-08-2024","25,563.65","25,658.45","25,681.50","25,518.05","30.57M","-0.09%"
"21-08-2024","25,586.75","25,520.55","25,597.65","25,448.05","31.84M","0.34%"
