"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","50,860.20","50,648.20","50,945.55","50,599.80","105.27M","-0.18%"
"30-12-2024","50,952.75","51,255.35","51,979.75","50,718.35","316.29M","-0.70%"
"27-12-2024","51,311.30","51,268.20","51,628.45","51,240.10","78.17M","0.27%"
"26-12-2024","51,170.70","51,395.80","51,740.00","50,951.80","91.27M","-0.12%"
"24-12-2024","51,233.00","51,314.95","51,382.10","51,137.50","112.05M","-0.16%"
"23-12-2024","51,317.60","51,044.40","51,417.35","51,030.40","110.85M","1.10%"
"20-12-2024","50,759.20","51,401.35","51,629.00","50,609.35","228.20M","-1.58%"
"19-12-2024","51,575.70","51,428.45","51,789.85","51,263.75","145.94M","-1.08%"
"18-12-2024","52,139.55","52,696.95","52,827.60","52,010.65","149.54M","-1.32%"
"17-12-2024","52,834.80","53,394.10","53,515.70","52,709.40","116.22M","-1.39%"
"16-12-2024","53,581.35","53,502.50","53,738.90","53,335.00","85.76M","0.00%"
"13-12-2024","53,583.80","53,109.80","53,654.00","52,264.55","139.91M","0.69%"
"12-12-2024","53,216.45","53,201.00","53,537.45","53,174.40","99.47M","-0.33%"
"11-12-2024","53,391.35","53,459.30","53,648.05","53,302.15","101.59M","-0.35%"
"10-12-2024","53,577.70","53,450.05","53,624.05","53,302.65","121.84M","0.32%"
"09-12-2024","53,407.75","53,380.75","53,775.10","53,326.40","121.82M","-0.19%"
"06-12-2024","53,509.50","53,634.20","53,868.50","53,160.65","209.37M","-0.18%"
"05-12-2024","53,603.55","53,354.45","53,888.30","52,850.35","155.61M","0.63%"
"04-12-2024","53,266.90","52,775.00","53,387.10","52,685.15","228.58M","1.08%"
"03-12-2024","52,695.75","52,357.95","52,780.90","52,216.85","173.56M","1.13%"
"02-12-2024","52,109.00","52,087.65","52,197.25","51,693.95","102.50M","0.10%"
"29-11-2024","52,055.60","51,984.15","52,170.90","51,759.45","139.62M","0.29%"
"28-11-2024","51,906.85","52,389.95","52,760.20","51,782.90","172.04M","-0.76%"
"27-11-2024","52,301.80","52,154.30","52,444.35","52,019.65","151.59M","0.21%"
"26-11-2024","52,191.50","52,554.90","52,555.50","51,999.75","113.12M","-0.03%"
"25-11-2024","52,207.50","52,046.35","52,331.10","51,774.05","458.46M","2.10%"
"22-11-2024","51,135.40","50,512.80","51,271.50","50,508.25","183.38M","1.51%"
"21-11-2024","50,372.90","50,625.00","50,652.15","49,787.10","254.62M","-0.50%"
"19-11-2024","50,626.50","50,580.55","50,983.50","50,440.85","185.76M","0.52%"
"18-11-2024","50,363.80","50,312.45","50,445.80","50,074.00","161.53M","0.37%"
"14-11-2024","50,179.55","50,053.45","50,561.80","49,939.35","133.89M","0.18%"
"13-11-2024","50,088.35","51,030.95","51,353.50","49,904.40","207.05M","-2.09%"
"12-11-2024","51,157.80","52,053.75","52,169.05","51,006.85","131.42M","-1.39%"
"11-11-2024","51,876.75","51,562.70","52,177.70","51,294.20","160.69M","0.61%"
"08-11-2024","51,561.20","51,869.15","52,007.15","51,494.00","157.23M","-0.68%"
"07-11-2024","51,916.50","52,258.95","52,377.25","51,752.25","160.48M","-0.77%"
"06-11-2024","52,317.40","52,440.40","52,493.95","52,185.40","219.10M","0.21%"
"05-11-2024","52,207.25","51,052.60","52,289.55","50,865.45","244.98M","1.94%"
"04-11-2024","51,215.25","51,764.50","51,764.50","51,066.80","320.47M","-0.89%"
"01-11-2024","51,673.90","51,550.15","51,825.50","51,459.40","51.35M","0.39%"
"31-10-2024","51,475.35","51,649.45","52,005.60","51,318.10","319.91M","-0.64%"
"30-10-2024","51,807.50","51,988.70","52,220.00","51,733.00","247.66M","-0.98%"
"29-10-2024","52,320.70","51,404.10","52,354.85","51,278.90","374.63M","2.07%"
"28-10-2024","51,259.30","51,061.35","51,589.15","51,012.55","447.57M","0.93%"
"25-10-2024","50,787.45","51,369.75","51,501.05","50,382.10","271.74M","-1.44%"
"24-10-2024","51,531.15","51,272.30","51,781.55","51,201.85","171.82M","0.57%"
"23-10-2024","51,239.00","51,117.80","51,551.55","51,107.90","208.11M","-0.04%"
"22-10-2024","51,257.15","52,071.35","52,257.30","51,179.60","203.95M","-1.36%"
"21-10-2024","51,962.70","52,361.10","52,577.50","51,855.15","145.73M","-0.25%"
"18-10-2024","52,094.20","51,261.00","52,199.45","51,000.90","139.08M","1.57%"
"17-10-2024","51,288.80","51,849.30","51,930.20","51,150.25","107.82M","-0.99%"
"16-10-2024","51,801.05","51,711.20","52,031.60","51,711.20","94.42M","-0.20%"
"15-10-2024","51,906.00","51,975.95","52,022.05","51,698.75","101.41M","0.17%"
"14-10-2024","51,816.90","51,263.25","51,893.00","51,220.85","126.59M","1.26%"
"11-10-2024","51,172.30","51,491.90","51,560.00","51,005.85","109.42M","-0.70%"
"10-10-2024","51,530.90","51,195.70","51,659.45","51,047.00","123.69M","1.03%"
"09-10-2024","51,007.00","51,161.75","51,707.15","50,903.75","310.00M","-0.03%"
"08-10-2024","51,021.00","50,736.10","51,176.05","50,466.00","153.21M","1.07%"
"07-10-2024","50,478.90","51,543.20","51,784.80","50,194.30","328.68M","-1.91%"
"04-10-2024","51,462.05","51,643.75","52,358.35","51,347.25","255.77M","-0.74%"
"03-10-2024","51,845.20","52,314.45","52,582.95","51,683.40","272.33M","-2.04%"
"01-10-2024","52,922.60","52,844.00","53,235.25","52,817.80","240.16M","-0.10%"
"30-09-2024","52,978.10","53,556.95","53,726.40","52,926.55","179.32M","-1.59%"
"27-09-2024","53,834.30","54,338.70","54,338.70","53,763.20","217.42M","-1.00%"
"26-09-2024","54,375.35","54,045.85","54,467.35","54,010.90","170.54M","0.51%"
