"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","64.09","63.63","64.12","63.63","8.80M","0.14%"
"30-12-2024","64.00","64.54","65.00","63.91","5.11M","-0.33%"
"27-12-2024","64.21","65.90","65.90","64.05","5.65M","0.33%"
"26-12-2024","64.00","64.14","64.20","63.82","3.93M","0.50%"
"24-12-2024","63.68","62.80","64.74","62.80","4.18M","-0.45%"
"23-12-2024","63.97","64.32","66.69","63.61","5.68M","1.03%"
"20-12-2024","63.32","63.05","63.63","63.05","6.38M","-0.72%"
"19-12-2024","63.78","63.78","63.83","63.35","10.20M","-0.93%"
"18-12-2024","64.38","66.00","66.00","63.91","4.90M","0.44%"
"17-12-2024","64.10","66.40","66.40","64.02","6.35M","-0.59%"
"16-12-2024","64.48","64.55","64.55","64.14","6.51M","-0.20%"
"13-12-2024","64.61","66.70","66.70","64.33","9.89M","-1.34%"
"12-12-2024","65.49","65.48","65.64","65.14","8.91M","0.69%"
"11-12-2024","65.04","64.91","66.17","64.91","12.99M","0.57%"
"10-12-2024","64.67","65.14","66.70","64.57","9.97M","0.59%"
"09-12-2024","64.29","64.55","64.55","63.81","8.77M","0.47%"
"06-12-2024","63.99","63.95","64.05","63.67","6.71M","-0.11%"
"05-12-2024","64.06","64.75","64.75","64.00","9.22M","0.08%"
"04-12-2024","64.01","64.38","64.38","63.81","7.14M","-0.08%"
"03-12-2024","64.06","64.80","64.80","63.82","6.88M","0.47%"
"02-12-2024","63.76","64.08","64.08","63.17","11.57M","-0.82%"
"29-11-2024","64.29","64.17","64.48","62.80","6.94M","0.39%"
"28-11-2024","64.04","63.86","64.11","63.32","6.34M","0.13%"
"27-11-2024","63.96","64.88","64.88","63.45","12.66M","0.90%"
"26-11-2024","63.39","63.85","63.85","62.99","14.36M","-1.54%"
"25-11-2024","64.38","64.98","64.98","64.10","13.43M","-1.45%"
"22-11-2024","65.33","66.50","66.50","64.61","12.56M","1.18%"
"21-11-2024","64.57","64.85","64.85","63.88","12.06M","1.33%"
"19-11-2024","63.72","64.70","64.70","63.21","11.16M","1.30%"
"18-11-2024","62.90","62.75","63.00","62.42","12.49M","1.80%"
"14-11-2024","61.79","62.48","62.49","61.67","16.06M","-2.31%"
"13-11-2024","63.25","63.39","63.40","62.85","9.28M","0.65%"
"12-11-2024","62.84","63.74","63.75","62.78","17.38M","-2.56%"
"11-11-2024","64.49","64.73","64.75","64.36","8.38M","-0.78%"
"08-11-2024","65.00","64.53","65.49","64.53","13.57M","1.04%"
"07-11-2024","64.33","64.90","64.90","64.01","21.29M","-1.92%"
"06-11-2024","65.59","66.50","66.63","65.01","15.00M","-0.53%"
"05-11-2024","65.94","66.12","66.14","65.63","14.65M","-0.12%"
"04-11-2024","66.02","66.90","66.90","65.79","14.82M","-0.90%"
"01-11-2024","66.62","66.90","66.92","64.90","10.74M","-0.45%"
"31-10-2024","66.92","67.58","67.58","66.81","14.36M","-0.15%"
"30-10-2024","67.02","67.00","67.38","66.60","15.44M","1.09%"
"29-10-2024","66.30","66.25","66.63","66.05","17.93M","0.79%"
"28-10-2024","65.78","65.90","65.95","65.56","13.64M","0.50%"
"25-10-2024","65.45","66.13","66.13","65.39","11.75M","-0.46%"
"24-10-2024","65.75","65.87","65.88","65.38","13.33M","-0.62%"
"23-10-2024","66.16","66.28","66.28","65.90","14.86M","0.65%"
"22-10-2024","65.73","67.40","67.40","65.60","11.42M","-0.09%"
"21-10-2024","65.79","65.99","66.28","65.51","15.56M","0.94%"
"18-10-2024","65.18","65.30","65.60","64.86","10.81M","1.15%"
"17-10-2024","64.44","64.50","64.86","64.22","7.01M","0.00%"
"16-10-2024","64.44","64.34","64.64","63.91","7.81M","0.91%"
"15-10-2024","63.86","64.11","64.12","63.52","7.12M","-0.19%"
"14-10-2024","63.98","63.62","64.28","63.62","10.38M","0.69%"
"11-10-2024","63.54","64.90","64.90","63.11","6.00M","0.84%"
