"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","43,337.80","43,622.40","43,659.65","42,574.45","19.79M","-1.44%"
"30-12-2024","43,971.45","43,674.05","44,175.50","43,259.80","41.61M","0.57%"
"27-12-2024","43,721.40","43,707.00","43,863.65","43,546.05","15.69M","0.13%"
"26-12-2024","43,664.25","43,708.20","43,851.00","43,420.90","14.28M","-0.01%"
"24-12-2024","43,668.90","43,897.00","44,203.05","43,262.10","15.53M","-0.36%"
"23-12-2024","43,828.35","44,011.50","44,267.40","43,643.95","16.41M","0.13%"
"20-12-2024","43,771.05","45,513.35","45,647.30","43,663.05","47.42M","-2.63%"
"19-12-2024","44,954.20","44,493.45","45,265.95","44,434.10","27.83M","-1.26%"
"18-12-2024","45,526.85","45,293.05","45,693.00","45,237.30","21.62M","0.25%"
"17-12-2024","45,413.75","45,576.15","45,759.65","45,213.85","24.16M","-0.53%"
"16-12-2024","45,653.60","45,937.10","46,005.20","45,536.85","15.60M","-0.74%"
"13-12-2024","45,995.80","45,496.95","46,088.90","45,073.50","20.52M","0.64%"
"12-12-2024","45,701.65","45,409.70","46,002.65","45,375.50","29.28M","0.77%"
"11-12-2024","45,350.35","45,238.80","45,398.95","45,046.60","19.37M","0.33%"
"10-12-2024","45,199.75","44,848.50","45,377.75","44,824.15","32.30M","0.82%"
"09-12-2024","44,832.00","44,648.30","44,913.30","44,477.15","19.49M","0.26%"
"06-12-2024","44,716.05","44,780.45","44,852.30","44,519.70","17.89M","-0.20%"
"05-12-2024","44,806.40","44,174.80","45,027.95","44,023.90","34.79M","1.95%"
"04-12-2024","43,949.25","43,761.15","44,225.55","43,585.05","28.92M","0.44%"
"03-12-2024","43,754.95","43,794.70","43,811.50","43,404.00","28.30M","0.48%"
"02-12-2024","43,547.00","43,171.75","43,578.00","42,860.80","14.52M","0.93%"
"29-11-2024","43,146.25","42,873.80","43,468.95","42,738.75","16.74M","0.41%"
"28-11-2024","42,968.75","43,948.00","44,013.10","42,864.80","24.11M","-2.39%"
"27-11-2024","44,018.70","44,132.50","44,330.60","43,980.15","18.11M","-0.15%"
"26-11-2024","44,085.95","43,763.20","44,244.60","43,699.45","21.69M","1.07%"
"25-11-2024","43,618.15","43,697.85","43,751.65","43,337.60","42.04M","0.66%"
"22-11-2024","43,332.10","42,229.20","43,436.15","41,983.55","24.59M","3.29%"
"21-11-2024","41,952.80","41,928.90","42,325.85","41,678.20","19.17M","0.49%"
"19-11-2024","41,748.35","41,534.60","42,447.65","41,534.60","18.75M","0.83%"
"18-11-2024","41,406.55","42,442.85","42,442.85","41,035.40","21.83M","-2.32%"
"14-11-2024","42,390.85","42,318.75","42,633.00","42,162.80","16.65M","0.05%"
"13-11-2024","42,369.50","42,484.45","42,659.70","42,201.40","15.00M","-0.56%"
"12-11-2024","42,609.55","42,846.00","42,884.60","42,462.05","18.27M","0.05%"
