"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","9,713.40","9,688.35","9,746.80","9,539.65","0.00K","-0.62%"
"30-12-2024","9,773.70","9,685.25","9,823.80","9,622.95","0.00K","1.01%"
"27-12-2024","9,675.65","9,681.90","9,714.85","9,651.70","0.00K","0.03%"
"26-12-2024","9,673.05","9,670.85","9,693.60","9,616.30","0.00K","0.11%"
"24-12-2024","9,662.65","9,692.95","9,716.05","9,624.30","0.00K","-0.22%"
"23-12-2024","9,684.40","9,695.10","9,781.35","9,660.40","0.00K","0.14%"
"20-12-2024","9,671.15","10,025.50","10,041.95","9,651.05","0.00K","-2.78%"
"19-12-2024","9,947.45","9,835.10","9,978.85","9,826.55","0.00K","-1.00%"
"18-12-2024","10,048.35","10,071.35","10,111.20","9,996.65","0.00K","-0.21%"
"17-12-2024","10,069.30","10,086.15","10,152.15","10,051.50","0.00K","-0.34%"
"16-12-2024","10,103.25","10,080.90","10,110.35","10,050.30","0.00K","0.22%"
"13-12-2024","10,081.30","9,967.70","10,087.80","9,877.20","0.00K","0.75%"
"12-12-2024","10,005.80","10,004.35","10,100.35","10,000.05","0.00K","0.04%"
"11-12-2024","10,001.75","9,986.35","10,013.70","9,941.35","0.00K","0.13%"
"10-12-2024","9,988.60","9,932.90","10,003.45","9,914.70","0.00K","0.68%"
"09-12-2024","9,921.00","9,932.90","9,993.75","9,876.95","0.00K","-0.15%"
"06-12-2024","9,936.10","9,898.45","9,942.80","9,849.90","0.00K","0.54%"
"05-12-2024","9,882.75","9,808.85","9,904.75","9,779.20","0.00K","1.42%"
"04-12-2024","9,744.60","9,693.45","9,753.80","9,661.15","0.00K","0.78%"
"03-12-2024","9,668.80","9,696.35","9,701.30","9,630.15","0.00K","0.29%"
"02-12-2024","9,640.70","9,534.10","9,667.15","9,485.95","0.00K","1.13%"
"29-11-2024","9,532.90","9,489.80","9,579.60","9,470.85","0.00K","0.24%"
"28-11-2024","9,510.30","9,608.00","9,611.85","9,467.40","0.00K","-1.03%"
"27-11-2024","9,608.80","9,556.60","9,625.80","9,528.75","0.00K","0.74%"
"26-11-2024","9,538.60","9,491.55","9,563.05","9,486.20","0.00K","1.06%"
"25-11-2024","9,438.45","9,415.20","9,478.70","9,388.10","0.00K","1.46%"
"22-11-2024","9,302.30","9,124.90","9,312.95","9,095.90","0.00K","2.53%"
"21-11-2024","9,073.20","9,122.00","9,146.00","9,039.45","0.00K","-0.09%"
"19-11-2024","9,081.80","9,069.95","9,219.80","9,056.20","0.00K","0.49%"
"18-11-2024","9,037.45","9,181.85","9,181.85","8,978.20","0.00K","-1.36%"
"14-11-2024","9,162.05","9,089.95","9,185.60","9,089.95","","0.98%"
"13-11-2024","9,073.50","9,191.85","9,229.75","9,053.75","","-1.45%"
"12-11-2024","9,207.15","9,304.55","9,352.55","9,184.65","","-0.52%"
"11-11-2024","9,255.55","9,163.15","9,304.30","9,126.00","","0.73%"
"08-11-2024","9,188.70","9,259.60","9,295.95","9,159.25","","-0.58%"
"07-11-2024","9,241.90","9,287.80","9,338.05","9,200.50","","-0.20%"
"06-11-2024","9,260.25","9,029.40","9,276.35","8,995.80","","3.39%"
"05-11-2024","8,957.00","8,952.85","8,990.60","8,895.30","","-0.26%"
"04-11-2024","8,980.35","9,000.65","9,011.85","8,892.60","","-0.48%"
"01-11-2024","9,023.25","9,019.40","9,051.75","9,009.70","","0.63%"
"31-10-2024","8,967.20","9,121.05","9,130.70","8,947.45","","-1.89%"
"30-10-2024","9,139.60","9,151.25","9,219.80","9,120.65","","-0.39%"
"29-10-2024","9,175.70","9,190.05","9,200.70","9,055.50","","-0.07%"
"28-10-2024","9,181.85","9,115.85","9,207.10","9,096.75","","0.67%"
"25-10-2024","9,120.60","9,214.60","9,217.45","9,058.80","","-0.81%"
"24-10-2024","9,195.20","9,248.25","9,277.75","9,185.75","","-0.70%"
"23-10-2024","9,260.45","9,084.40","9,356.40","9,071.30","","1.88%"
"22-10-2024","9,089.45","9,277.30","9,309.30","9,073.65","","-1.92%"
"21-10-2024","9,267.85","9,429.35","9,445.80","9,245.30","","-1.30%"
"18-10-2024","9,390.05","9,365.20","9,420.25","9,331.35","","-0.55%"
"17-10-2024","9,442.25","9,521.40","9,528.00","9,433.25","","-0.56%"
"16-10-2024","9,495.50","9,537.95","9,568.80","9,472.55","","-0.62%"
"15-10-2024","9,554.60","9,576.75","9,621.75","9,523.65","","0.07%"
"14-10-2024","9,548.30","9,524.65","9,568.00","9,492.00","","0.61%"
"11-10-2024","9,490.35","9,406.45","9,499.65","9,402.35","","0.62%"
"10-10-2024","9,431.95","9,569.55","9,585.00","9,416.80","","-0.94%"
"09-10-2024","9,521.30","9,502.30","9,587.15","9,474.85","","0.56%"
"08-10-2024","9,468.30","9,328.85","9,486.25","9,270.90","","1.59%"
"07-10-2024","9,320.50","9,465.35","9,482.90","9,230.45","","-0.98%"
"04-10-2024","9,412.75","9,421.85","9,555.75","9,340.45","","-0.29%"
"03-10-2024","9,440.40","9,481.95","9,589.70","9,425.45","","-1.76%"
"01-10-2024","9,609.40","9,490.20","9,616.65","9,489.80","","1.35%"
"30-09-2024","9,481.25","9,528.10","9,548.05","9,470.75","","-0.84%"
"27-09-2024","9,561.85","9,641.90","9,708.55","9,548.80","","-0.23%"
"26-09-2024","9,583.60","9,584.10","9,608.10","9,498.10","","0.27%"
"25-09-2024","9,557.75","9,668.25","9,674.50","9,509.15","","-1.14%"
