"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","13,822.55","13,698.25","13,864.85","13,689.30","0.00K","0.69%"
"30-12-2024","13,727.20","13,853.65","13,870.15","13,699.65","0.00K","-0.96%"
"27-12-2024","13,860.85","13,877.50","13,988.95","13,848.95","0.00K","0.11%"
"26-12-2024","13,845.40","13,815.95","13,854.65","13,764.95","0.00K","0.35%"
"24-12-2024","13,797.50","13,807.10","13,878.85","13,756.40","0.00K","0.01%"
"23-12-2024","13,796.05","13,858.45","13,908.80","13,737.30","0.00K","0.18%"
"20-12-2024","13,771.10","14,078.25","14,148.50","13,745.55","0.00K","-2.13%"
"19-12-2024","14,070.10","13,941.85","14,099.40","13,923.45","0.00K","-0.46%"
"18-12-2024","14,135.60","14,216.50","14,250.90","14,099.10","0.00K","-0.64%"
"17-12-2024","14,226.15","14,397.75","14,429.60","14,206.10","0.00K","-1.29%"
"16-12-2024","14,411.90","14,416.85","14,438.25","14,340.05","0.00K","0.19%"
"13-12-2024","14,385.05","14,357.60","14,397.30","14,134.00","0.00K","0.07%"
"12-12-2024","14,374.80","14,476.15","14,487.85","14,343.85","0.00K","-0.55%"
"11-12-2024","14,454.35","14,444.75","14,503.85","14,420.35","0.00K","0.23%"
"10-12-2024","14,421.60","14,450.45","14,460.40","14,359.95","0.00K","0.04%"
"09-12-2024","14,415.45","14,427.95","14,454.25","14,379.20","0.00K","-0.12%"
"06-12-2024","14,432.40","14,404.30","14,446.40","14,349.90","0.00K","0.46%"
"05-12-2024","14,366.20","14,363.10","14,404.95","14,212.00","0.00K","0.37%"
"04-12-2024","14,313.30","14,373.35","14,394.75","14,250.55","0.00K","-0.14%"
"03-12-2024","14,333.15","14,331.65","14,349.45","14,274.15","0.00K","0.60%"
"02-12-2024","14,248.25","14,116.65","14,253.30","14,083.80","0.00K","1.10%"
"29-11-2024","14,093.10","13,978.60","14,135.70","13,963.85","0.00K","1.05%"
"28-11-2024","13,946.10","14,065.70","14,109.45","13,920.75","0.00K","-0.69%"
"27-11-2024","14,043.55","14,020.05","14,063.05","13,940.35","0.00K","0.50%"
"26-11-2024","13,973.10","14,061.45","14,096.35","13,957.50","0.00K","-0.29%"
"25-11-2024","14,013.95","14,057.00","14,123.15","13,989.50","0.00K","1.25%"
"22-11-2024","13,841.05","13,671.00","13,871.60","13,637.50","0.00K","1.52%"
"21-11-2024","13,634.15","13,693.25","13,701.60","13,549.25","0.00K","-0.59%"
"19-11-2024","13,714.60","13,650.05","13,890.50","13,649.65","0.00K","0.68%"
"18-11-2024","13,622.20","13,699.30","13,747.30","13,574.10","0.00K","0.10%"
"14-11-2024","13,608.25","13,598.70","13,698.70","13,526.05","","0.23%"
"13-11-2024","13,576.45","13,849.10","13,857.10","13,539.45","","-2.33%"
"12-11-2024","13,900.10","14,173.00","14,218.40","13,862.45","","-1.67%"
"11-11-2024","14,135.55","14,209.25","14,257.95","14,109.30","","-0.66%"
"08-11-2024","14,229.60","14,341.25","14,351.25","14,182.95","","-0.59%"
"07-11-2024","14,314.05","14,560.35","14,563.60","14,305.95","","-1.37%"
"06-11-2024","14,513.15","14,322.95","14,532.85","14,258.55","","1.81%"
"05-11-2024","14,255.60","14,108.95","14,269.00","14,037.65","","0.89%"
"04-11-2024","14,129.95","14,338.40","14,338.55","13,974.90","","-1.33%"
"01-11-2024","14,320.00","14,315.65","14,352.00","14,305.05","","0.77%"
"31-10-2024","14,210.05","14,251.10","14,272.05","14,160.95","","0.01%"
"30-10-2024","14,209.20","14,188.65","14,337.15","14,133.35","","-0.23%"
"29-10-2024","14,241.50","14,317.60","14,339.90","14,045.95","","-0.32%"
"28-10-2024","14,287.20","14,214.55","14,362.00","14,095.70","","0.74%"
"25-10-2024","14,181.85","14,456.20","14,457.65","14,019.20","","-1.60%"
"24-10-2024","14,412.20","14,450.95","14,485.10","14,365.40","","-0.21%"
"23-10-2024","14,442.95","14,515.35","14,636.35","14,408.70","","-0.73%"
"22-10-2024","14,548.80","14,897.90","14,923.20","14,524.45","","-2.35%"
"21-10-2024","14,899.20","15,083.50","15,122.70","14,883.40","","-0.90%"
"18-10-2024","15,034.30","14,891.95","15,066.35","14,760.30","","0.69%"
"17-10-2024","14,931.05","15,258.80","15,262.90","14,919.25","","-2.11%"
"16-10-2024","15,252.15","15,275.05","15,325.30","15,163.25","","-0.24%"
"15-10-2024","15,288.50","15,401.60","15,408.95","15,223.60","","-0.40%"
"14-10-2024","15,350.60","15,373.00","15,393.90","15,302.10","","0.11%"
"11-10-2024","15,333.75","15,333.00","15,369.90","15,276.85","","0.19%"
"10-10-2024","15,305.00","15,357.90","15,427.65","15,276.15","","-0.07%"
"09-10-2024","15,315.30","15,200.80","15,407.00","15,194.10","","1.06%"
"08-10-2024","15,154.55","14,879.30","15,187.05","14,794.20","","1.48%"
"07-10-2024","14,934.00","15,197.25","15,217.10","14,824.55","","-1.35%"
"04-10-2024","15,138.20","15,284.25","15,385.80","15,079.65","","-1.11%"
"03-10-2024","15,307.45","15,391.55","15,559.35","15,283.55","","-2.13%"
"01-10-2024","15,640.75","15,637.65","15,662.20","15,538.15","","0.18%"
"30-09-2024","15,612.05","15,732.90","15,763.10","15,577.80","","-0.89%"
"27-09-2024","15,752.75","15,623.85","15,769.90","15,604.30","","1.05%"
"26-09-2024","15,588.80","15,480.05","15,601.30","15,419.55","","0.85%"
"25-09-2024","15,457.15","15,494.00","15,526.20","15,382.00","","-0.09%"
"24-09-2024","15,471.60","15,363.20","15,486.20","15,362.45","","0.67%"
"23-09-2024","15,368.70","15,299.90","15,374.50","15,287.75","","0.90%"
"20-09-2024","15,231.15","15,087.15","15,261.60","15,045.00","","1.42%"
"19-09-2024","15,018.15","15,144.70","15,176.10","14,891.25","","-0.36%"
"18-09-2024","15,073.00","15,200.40","15,227.40","15,018.10","","-0.79%"
"17-09-2024","15,193.00","15,236.15","15,236.25","15,131.75","","-0.09%"
"16-09-2024","15,205.95","15,244.90","15,250.20","15,195.25","","0.14%"
"13-09-2024","15,185.15","15,188.50","15,224.45","15,161.65","","0.25%"
"12-09-2024","15,147.85","15,010.95","15,163.10","14,950.60","","1.68%"
"11-09-2024","14,897.65","14,968.10","15,015.40","14,868.65","","-0.45%"
"10-09-2024","14,965.10","14,925.05","15,008.70","14,909.95","","0.67%"
"09-09-2024","14,866.05","14,890.50","14,899.90","14,742.65","","-0.27%"
"06-09-2024","14,906.00","15,075.95","15,096.10","14,881.90","","-1.12%"
"05-09-2024","15,074.15","15,160.50","15,176.95","15,064.30","","-0.27%"
