"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","23,412.25","23,191.35","23,511.95","23,152.05","21.38M","0.74%"
"30-12-2024","23,241.15","23,037.20","23,313.20","22,980.80","38.73M","1.01%"
"27-12-2024","23,008.35","22,756.30","23,066.10","22,691.05","21.02M","1.30%"
"26-12-2024","22,712.55","22,571.40","22,745.35","22,451.20","16.98M","0.68%"
"24-12-2024","22,558.90","22,603.10","22,669.30","22,470.40","20.21M","-0.06%"
"23-12-2024","22,572.05","22,603.80","22,705.45","22,363.55","15.74M","0.31%"
"20-12-2024","22,501.85","22,708.45","22,791.00","22,452.45","28.07M","-0.86%"
"19-12-2024","22,697.90","22,209.35","22,726.90","22,163.60","29.68M","1.72%"
"18-12-2024","22,314.55","22,105.85","22,431.10","22,099.85","25.84M","1.09%"
"17-12-2024","22,074.55","22,307.40","22,350.50","22,015.75","18.29M","-0.81%"
"16-12-2024","22,255.55","22,212.20","22,289.35","22,067.10","14.37M","0.44%"
"13-12-2024","22,157.35","22,184.40","22,222.50","21,798.00","20.79M","-0.32%"
"12-12-2024","22,229.30","22,402.30","22,420.55","22,187.75","16.68M","-0.33%"
"11-12-2024","22,302.60","22,352.00","22,397.15","22,267.10","14.66M","0.05%"
"10-12-2024","22,291.45","22,392.40","22,419.20","22,179.40","18.85M","-0.08%"
"09-12-2024","22,309.10","22,434.50","22,463.25","22,266.30","25.66M","-0.56%"
"06-12-2024","22,434.75","22,548.55","22,562.95","22,398.05","20.14M","-0.13%"
"05-12-2024","22,463.40","22,485.65","22,528.30","22,145.05","28.04M","0.18%"
"04-12-2024","22,422.90","22,497.85","22,526.80","22,292.10","27.21M","-0.10%"
"03-12-2024","22,445.70","22,600.00","22,603.90","22,399.55","37.47M","-0.02%"
"02-12-2024","22,450.20","22,323.95","22,517.55","22,269.40","32.21M","0.94%"
"29-11-2024","22,240.20","21,817.65","22,297.55","21,796.30","24.57M","2.35%"
"28-11-2024","21,728.60","21,855.80","21,884.50","21,649.50","25.07M","-0.46%"
"27-11-2024","21,828.60","21,970.00","22,037.70","21,751.90","24.09M","-0.61%"
"26-11-2024","21,961.75","22,231.75","22,250.55","21,924.85","20.38M","-0.97%"
"25-11-2024","22,177.05","22,163.85","22,275.70","22,064.90","33.79M","0.98%"
"22-11-2024","21,962.05","21,769.35","22,024.30","21,721.55","13.50M","1.02%"
"21-11-2024","21,740.10","21,672.05","21,857.85","21,552.90","13.68M","-0.13%"
"19-11-2024","21,768.85","21,505.35","21,990.05","21,495.75","14.90M","1.04%"
"18-11-2024","21,544.15","21,802.65","21,851.40","21,475.95","19.21M","-0.96%"
"14-11-2024","21,752.00","21,802.65","22,012.00","21,693.90","17.24M","-0.26%"
"13-11-2024","21,809.30","22,089.30","22,120.65","21,757.20","20.04M","-1.55%"
"12-11-2024","22,151.60","22,317.60","22,537.85","22,094.20","25.73M","-0.86%"
"11-11-2024","22,344.25","22,671.05","22,678.55","22,285.95","38.08M","-0.88%"
"08-11-2024","22,542.25","22,603.45","22,673.35","22,428.80","24.37M","0.07%"
"07-11-2024","22,526.95","23,028.50","23,032.55","22,478.20","25.84M","-1.72%"
"06-11-2024","22,920.35","22,781.15","22,979.35","22,687.60","31.58M","1.14%"
"05-11-2024","22,661.25","22,613.85","22,788.15","22,381.60","24.72M","0.10%"
"04-11-2024","22,638.30","22,817.00","22,817.00","22,421.25","24.88M","-0.74%"
"01-11-2024","22,807.15","22,886.45","22,894.55","22,724.30","3.06M","0.31%"
"31-10-2024","22,735.55","22,639.80","22,781.10","22,550.50","45.93M","1.61%"
"30-10-2024","22,374.95","22,512.80","22,569.00","22,216.95","28.77M","-1.00%"
"29-10-2024","22,601.40","22,978.65","23,003.95","22,360.50","22.35M","-1.12%"
"28-10-2024","22,857.25","22,604.05","22,948.70","22,430.45","19.50M","1.25%"
"25-10-2024","22,574.55","22,606.20","22,752.20","22,463.00","34.31M","0.02%"
"24-10-2024","22,570.80","22,493.15","22,651.90","22,464.10","13.22M","0.44%"
"23-10-2024","22,471.60","22,764.45","22,896.15","22,437.95","16.71M","-1.56%"
"22-10-2024","22,828.20","23,126.25","23,206.45","22,790.85","15.95M","-1.27%"
