"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","5,048.15","5,032.30","5,061.70","4,992.65","0.00K","-0.05%"
"30-12-2024","5,050.60","5,047.05","5,062.70","5,015.75","0.00K","0.05%"
"27-12-2024","5,047.90","5,047.60","5,063.45","5,035.45","0.00K","0.17%"
"26-12-2024","5,039.55","5,037.20","5,051.40","5,013.30","0.00K","0.20%"
"24-12-2024","5,029.35","5,026.30","5,063.45","5,012.80","0.00K","0.15%"
"23-12-2024","5,021.60","5,035.85","5,055.75","5,006.00","","0.23%"
"20-12-2024","5,010.10","5,119.30","5,132.80","4,997.50","","-1.73%"
"19-12-2024","5,098.20","5,056.70","5,111.00","5,055.50","","-0.41%"
"18-12-2024","5,119.40","5,099.50","5,141.70","5,096.85","","0.28%"
"17-12-2024","5,104.95","5,160.45","5,174.40","5,097.50","","-1.22%"
"16-12-2024","5,167.80","5,200.10","5,206.45","5,149.40","","-0.65%"
"13-12-2024","5,201.35","5,201.35","5,201.35","5,201.35","","0.72%"
"12-12-2024","5,164.05","5,164.05","5,164.05","5,164.05","","-0.52%"
"11-12-2024","5,191.28","5,191.28","5,191.28","5,191.28","","0.53%"
"10-12-2024","5,163.86","5,163.86","5,163.86","5,163.86","","-0.24%"
"09-12-2024","5,176.13","5,176.13","5,176.13","5,176.13","","-0.78%"
"06-12-2024","5,216.63","5,216.63","5,216.63","5,216.63","","-0.25%"
"05-12-2024","5,229.92","5,229.92","5,229.92","5,229.92","","1.24%"
"04-12-2024","5,165.84","5,165.84","5,165.84","5,165.84","","-0.06%"
"03-12-2024","5,168.70","5,168.70","5,168.70","5,168.70","","0.47%"
"02-12-2024","5,144.55","5,144.55","5,144.55","5,144.55","","0.70%"
"29-11-2024","5,108.83","5,108.83","5,108.83","5,108.83","","0.97%"
"28-11-2024","5,059.91","5,059.91","5,059.91","5,059.91","","-1.49%"
"27-11-2024","5,136.53","5,136.53","5,136.53","5,136.53","","0.02%"
"26-11-2024","5,135.46","5,135.46","5,135.46","5,135.46","","-0.18%"
"25-11-2024","5,144.48","5,144.48","5,144.48","5,144.48","","1.03%"
"22-11-2024","5,091.91","5,091.91","5,091.91","5,091.91","","2.60%"
"21-11-2024","4,962.94","4,962.94","4,962.94","4,962.94","","0.31%"
