"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","83.73","83.87","83.87","83.26","6.75M","-1.44%"
"30-12-2024","84.95","86.85","86.85","84.70","5.29M","-0.89%"
"27-12-2024","85.71","85.49","86.20","85.49","2.88M","0.33%"
"26-12-2024","85.43","85.95","85.98","85.20","3.91M","0.15%"
"24-12-2024","85.30","85.80","86.09","85.22","3.42M","-0.22%"
"23-12-2024","85.49","84.92","85.57","83.60","4.35M","3.06%"
"20-12-2024","82.95","83.49","83.67","82.87","11.17M","-2.04%"
"19-12-2024","84.68","84.99","84.99","84.22","13.72M","-2.36%"
"18-12-2024","86.73","86.84","86.94","86.52","2.73M","0.41%"
"17-12-2024","86.38","87.27","87.27","86.15","7.74M","-1.02%"
"16-12-2024","87.27","86.99","87.35","86.44","7.61M","0.02%"
"13-12-2024","87.25","88.18","88.18","87.15","16.60M","-4.40%"
"12-12-2024","91.27","91.17","91.48","90.52","5.93M","1.35%"
"11-12-2024","90.05","90.99","90.99","89.95","6.00M","-0.07%"
"10-12-2024","90.11","90.67","90.89","89.80","12.30M","1.58%"
"09-12-2024","88.71","88.19","88.83","87.61","5.60M","0.25%"
"06-12-2024","88.49","88.68","88.75","88.11","4.02M","-0.07%"
"05-12-2024","88.55","88.37","88.95","88.32","6.01M","1.15%"
"04-12-2024","87.54","87.98","88.05","87.45","4.36M","-0.10%"
"03-12-2024","87.63","86.85","87.70","86.51","6.48M","1.85%"
"02-12-2024","86.04","86.29","86.29","85.60","5.64M","-1.01%"
"29-11-2024","86.92","86.24","87.04","86.13","12.65M","2.08%"
"28-11-2024","85.15","85.19","85.25","84.70","11.26M","-1.66%"
"27-11-2024","86.59","86.44","87.04","86.15","6.41M","0.67%"
"26-11-2024","86.01","85.96","86.14","85.24","8.33M","-0.99%"
"25-11-2024","86.87","87.44","87.44","86.26","8.62M","-1.78%"
"22-11-2024","88.44","87.99","88.75","87.35","5.70M","0.39%"
"21-11-2024","88.10","87.97","88.56","87.53","5.07M","-0.81%"
"19-11-2024","88.82","88.22","88.90","88.13","5.77M","2.19%"
"18-11-2024","86.92","86.43","87.09","86.43","7.24M","2.67%"
"14-11-2024","84.66","85.91","85.92","84.55","15.34M","-3.37%"
"13-11-2024","87.61","87.22","87.79","87.21","7.25M","2.04%"
"12-11-2024","85.86","87.18","87.19","85.70","16.34M","-2.96%"
"11-11-2024","88.48","88.47","88.74","88.11","5.23M","-0.73%"
"08-11-2024","89.13","89.02","89.75","88.63","8.06M","1.30%"
"07-11-2024","87.99","88.70","88.70","87.30","18.41M","-3.00%"
"06-11-2024","90.71","90.99","91.29","88.70","14.96M","-1.09%"
"05-11-2024","91.71","91.57","91.82","91.20","6.98M","-0.59%"
"04-11-2024","92.25","92.49","92.49","91.73","9.53M","-0.73%"
"01-11-2024","92.93","94.20","94.20","92.21","9.86M","-1.42%"
"31-10-2024","94.27","94.40","94.40","93.84","6.81M","-1.46%"
"30-10-2024","95.67","95.41","95.95","95.35","8.20M","0.35%"
"29-10-2024","95.34","94.57","95.61","94.45","10.67M","1.83%"
"28-10-2024","93.63","93.23","94.10","93.01","8.61M","1.06%"
"25-10-2024","92.65","93.48","93.55","92.45","10.06M","-2.60%"
"24-10-2024","95.12","94.58","95.18","94.08","10.06M","-1.03%"
"23-10-2024","96.11","95.62","96.52","95.62","10.00M","1.30%"
"22-10-2024","94.88","94.84","95.15","94.33","10.90M","0.25%"
"21-10-2024","94.64","94.12","95.00","93.82","19.19M","5.38%"
"18-10-2024","89.81","89.33","89.95","89.28","6.99M","1.38%"
"17-10-2024","88.59","88.69","88.90","88.12","4.59M","-0.75%"
"16-10-2024","89.26","88.95","89.39","88.45","7.48M","1.86%"
"15-10-2024","87.63","87.95","87.95","86.62","5.75M","-0.86%"
"14-10-2024","88.39","87.82","88.51","87.82","5.65M","0.78%"
"11-10-2024","87.71","86.13","88.48","86.13","4.61M","1.69%"
"10-10-2024","86.25","86.70","86.89","85.83","7.65M","-0.09%"
"09-10-2024","86.33","86.29","86.41","85.69","11.70M","-1.52%"
"08-10-2024","87.66","88.49","88.59","87.08","9.48M","-1.98%"
"07-10-2024","89.43","90.30","90.30","89.11","8.92M","-0.48%"
"04-10-2024","89.86","89.50","90.12","89.45","10.98M","1.59%"
"03-10-2024","88.45","88.20","90.30","88.03","9.54M","0.89%"
"01-10-2024","87.67","87.64","88.05","87.50","6.72M","-0.42%"
"30-09-2024","88.04","87.99","88.45","87.80","6.04M","-0.34%"
"27-09-2024","88.34","88.98","88.98","88.01","8.56M","-0.73%"
"26-09-2024","88.99","88.80","89.06","88.30","8.69M","1.00%"
"25-09-2024","88.11","88.01","88.48","87.68","13.02M","2.30%"
"24-09-2024","86.13","86.22","86.61","85.70","6.78M","0.91%"
"23-09-2024","85.35","86.48","86.58","84.91","9.11M","-1.31%"
"20-09-2024","86.48","86.10","86.65","86.02","6.58M","-0.15%"
"19-09-2024","86.61","84.90","86.78","84.50","9.67M","1.94%"
"18-09-2024","84.96","85.19","85.25","84.64","4.96M","-0.49%"
"17-09-2024","85.38","86.14","86.14","85.22","6.61M","-1.00%"
"16-09-2024","86.24","85.70","86.40","85.70","18.26M","2.52%"
"13-09-2024","84.12","83.56","84.26","83.44","17.13M","3.56%"
"12-09-2024","81.23","81.29","81.48","81.02","3.34M","-0.07%"
"11-09-2024","81.29","80.60","81.43","80.43","4.30M","1.18%"
"10-09-2024","80.34","79.99","80.60","79.82","4.10M","0.71%"
"09-09-2024","79.77","80.20","80.20","78.80","9.39M","-1.91%"
"06-09-2024","81.32","81.28","81.50","81.00","4.75M","0.30%"
"05-09-2024","81.08","79.81","81.18","79.81","4.48M","2.13%"
"04-09-2024","79.39","79.88","79.88","79.03","9.60M","-1.40%"
"03-09-2024","80.52","80.84","80.84","80.41","4.86M","-0.46%"
"02-09-2024","80.89","80.88","80.95","80.30","13.18M","-2.62%"
"30-08-2024","83.07","83.28","83.30","82.76","4.15M","-0.25%"
"29-08-2024","83.28","83.31","83.47","82.85","8.14M","-0.01%"
"28-08-2024","83.29","84.18","84.18","82.67","8.33M","-0.83%"
"27-08-2024","83.99","83.99","84.31","83.42","6.72M","-0.17%"
"26-08-2024","84.13","82.80","84.24","82.71","7.00M","2.00%"
"23-08-2024","82.48","82.25","82.60","81.96","4.07M","-0.51%"
"22-08-2024","82.90","83.09","83.09","82.49","2.98M","-0.06%"
"21-08-2024","82.95","82.99","83.15","82.71","6.11M","-0.50%"
"20-08-2024","83.37","82.33","83.41","82.32","7.02M","1.67%"
"19-08-2024","82.00","81.41","82.30","81.41","7.03M","2.49%"
"16-08-2024","80.01","79.95","80.38","79.71","5.38M","0.49%"
"14-08-2024","79.62","79.48","79.80","79.00","7.60M","0.39%"
"13-08-2024","79.31","79.65","79.77","79.14","4.17M","-0.66%"
"12-08-2024","79.84","78.21","79.97","78.21","7.14M","1.45%"
"09-08-2024","78.70","79.36","79.39","78.00","8.94M","1.75%"
"08-08-2024","77.35","78.50","78.50","77.26","12.41M","-1.55%"
"07-08-2024","78.57","78.99","79.25","77.52","9.02M","1.66%"
"06-08-2024","77.29","79.16","79.16","76.70","18.41M","-2.09%"
"05-08-2024","78.94","82.05","82.05","78.76","10.12M","-3.78%"
"02-08-2024","82.04","82.00","82.80","81.91","6.41M","-0.36%"
"01-08-2024","82.34","82.05","82.60","82.05","5.72M","0.61%"
"31-07-2024","81.84","81.01","82.00","81.01","6.99M","2.30%"
"30-07-2024","80.00","79.99","80.24","79.70","7.41M","-0.45%"
"29-07-2024","80.36","81.01","81.01","80.00","10.63M","0.70%"
"26-07-2024","79.80","79.90","80.39","79.49","10.82M","-0.09%"
"25-07-2024","79.87","82.71","82.71","79.52","21.28M","-3.67%"
"24-07-2024","82.91","86.01","86.09","82.50","12.16M","-0.72%"
"23-07-2024","83.51","86.90","87.10","82.34","17.58M","-3.23%"
"22-07-2024","86.30","86.99","86.99","86.06","4.93M","-0.70%"
"19-07-2024","86.91","88.19","89.00","86.76","9.74M","-2.82%"
"18-07-2024","89.43","89.24","89.52","89.01","5.57M","-0.39%"
"16-07-2024","89.78","89.78","89.89","89.40","3.27M","0.43%"
"15-07-2024","89.40","89.92","89.95","89.12","4.89M","-0.23%"
"12-07-2024","89.61","90.17","90.40","89.25","6.11M","-0.47%"
